"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/generated/register_merging_flow.svg","image/svg+xml","200","OK","Indexable","","0","0.795","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Carry%20Save%20adder.webp","image/webp","200","OK","Indexable","","0","1.259","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Data%20Path%20optimization.webp","image/webp","200","OK","Indexable","","0","1.564","",""
"https://www.vlsiphysicaldesign.top/main.js","application/javascript","200","OK","Indexable","","0","0.788","",""
"https://www.linkedin.com/in/chintasamsonhruday/","text/html","999","Request denied","Indexable","","1","1.326","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/generated/self_gating_xor.svg","image/svg+xml","200","OK","Indexable","","0","0.797","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/constant%20Propagation.webp","image/webp","200","OK","Indexable","","0","0.963","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Useful%20skew%20based%20optimization.webp","image/webp","200","OK","Indexable","","0","1.082","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Mux%20Mapping.webp","image/webp","200","OK","Indexable","","0","0.978","",""
"https://www.vlsiphysicaldesign.top/advanced_synthesis","text/html; charset=utf-8","200","OK","Indexable","","8","0.636","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Multibit%20Banking%20Optimization%20Flow.webp","image/webp","200","OK","Indexable","","0","1.185","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/generated/ir_drop_shaping.svg","image/svg+xml","200","OK","Indexable","","0","0.382","",""
"https://fonts.googleapis.com/css2?family=Lora:wght@400;600&family=Poppins:wght@600;700&display=swap","text/css; charset=utf-8","200","OK","Indexable","","0","0.202","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/physical%20synthesis%20Flow.webp","image/webp","200","OK","Indexable","","0","1.297","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Inversion%20Push.webp","image/webp","200","OK","Indexable","","0","2.029","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Multi%20Bit%20Debanking.webp","image/webp","200","OK","Indexable","","0","2.118","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Optimizations.webp","image/webp","200","OK","Indexable","","0","0.970","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Multi%20Vt%20cells.webp","image/webp","200","OK","Indexable","","0","2.613","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/clock%20and%20data%20path%20Optimization.webp","image/webp","200","OK","Indexable","","0","1.166","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/generated/area_recovery_tradeoff.svg","image/svg+xml","200","OK","Indexable","","0","0.803","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/generated/register_replication_flow.svg","image/svg+xml","200","OK","Indexable","","0","0.808","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Multibit%20Banking.webp","image/webp","200","OK","Indexable","","0","0.869","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Multibit%20bankng%20from%20RTL%20Inference.webp","image/webp","200","OK","Indexable","","0","1.218","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Logic%20simplification.webp","image/webp","200","OK","Indexable","","0","2.497","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/generated/scan_mapping_flow.svg","image/svg+xml","200","OK","Indexable","","0","0.798","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Power%20optimization.webp","image/webp","200","OK","Indexable","","0","2.814","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Clock%20Gating.webp","image/webp","200","OK","Indexable","","0","8.511","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Unused%20logic%20removal.webp","image/webp","200","OK","Indexable","","0","3.635","",""
